T1001	Data Obfuscation
T1001.001	Junk Data
T1001.002	Steganography
T1001.003	Protocol or Service Impersonation
T1002	Data Compressed
T1003	OS Credential Dumping
T1003.001	LSASS Memory
T1003.002	Security Account Manager
T1003.003	NTDS
T1003.004	LSA Secrets
T1003.005	Cached Domain Credentials
T1003.006	DCSync
T1003.007	Proc Filesystem
T1003.008	/etc/passwd and /etc/shadow
T1004	Winlogon Helper DLL
T1005	Data from Local System
T1006	Direct Volume Access
T1007	System Service Discovery
T1008	Fallback Channels
T1009	Binary Padding
T1010	Application Window Discovery
T1011	Exfiltration Over Other Network Medium
T1011.001	Exfiltration Over Bluetooth
T1012	Query Registry
T1013	Port Monitors
T1014	Rootkit
T1015	Accessibility Features
T1016	System Network Configuration Discovery
T1016.001	Internet Connection Discovery
T1016.002	Wi-Fi Discovery
T1017	Application Deployment Software
T1018	Remote System Discovery
T1019	System Firmware
T1020	Automated Exfiltration
T1020.001	Traffic Duplication
T1021	Remote Services
T1021.001	Remote Desktop Protocol
T1021.002	SMB/Windows Admin Shares
T1021.003	Distributed Component Object Model
T1021.004	SSH
T1021.005	VNC
T1021.006	Windows Remote Management
T1021.007	Cloud Services
T1021.008	Direct Cloud VM Connections
T1022	Data Encrypted
T1023	Shortcut Modification
T1024	Custom Cryptographic Protocol
T1025	Data from Removable Media
T1026	Multiband Communication
T1027	Obfuscated Files or Information
T1027.001	Binary Padding
T1027.002	Software Packing
T1027.003	Steganography
T1027.004	Compile After Delivery
T1027.005	Indicator Removal from Tools
T1027.006	HTML Smuggling
T1027.007	Dynamic API Resolution
T1027.008	Stripped Payloads
T1027.009	Embedded Payloads
T1027.010	Command Obfuscation
T1027.011	Fileless Storage
T1027.012	LNK Icon Smuggling
T1027.013	Encrypted/Encoded File
T1027.014	Polymorphic Code
T1027.015	Compression
T1027.016	Junk Code Insertion
T1027.017	SVG Smuggling
T1027.018	Invisible Unicode
T1028	Windows Remote Management
T1029	Scheduled Transfer
T1030	Data Transfer Size Limits
T1031	Modify Existing Service
T1032	Standard Cryptographic Protocol
T1033	System Owner/User Discovery
T1034	Path Interception
T1035	Service Execution
T1036	Masquerading
T1036.001	Invalid Code Signature
T1036.002	Right-to-Left Override
T1036.003	Rename Legitimate Utilities
T1036.004	Masquerade Task or Service
T1036.005	Match Legitimate Resource Name or Location
T1036.006	Space after Filename
T1036.007	Double File Extension
T1036.008	Masquerade File Type
T1036.009	Break Process Trees
T1036.010	Masquerade Account Name
T1036.011	Overwrite Process Arguments
T1036.012	Browser Fingerprint
T1037	Boot or Logon Initialization Scripts
T1037.001	Logon Script (Windows)
T1037.002	Login Hook
T1037.003	Network Logon Script
T1037.004	RC Scripts
T1037.005	Startup Items
T1038	DLL Search Order Hijacking
T1039	Data from Network Shared Drive
T1040	Network Sniffing
T1041	Exfiltration Over C2 Channel
T1042	Change Default File Association
T1043	Commonly Used Port
T1044	File System Permissions Weakness
T1045	Software Packing
T1046	Network Service Discovery
T1047	Windows Management Instrumentation
T1048	Exfiltration Over Alternative Protocol
T1048.001	Exfiltration Over Symmetric Encrypted Non-C2 Protocol
T1048.002	Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
T1048.003	Exfiltration Over Unencrypted Non-C2 Protocol
T1049	System Network Connections Discovery
T1050	New Service
T1051	Shared Webroot
T1052	Exfiltration Over Physical Medium
T1052.001	Exfiltration over USB
T1053	Scheduled Task/Job
T1053.001	At (Linux)
T1053.002	At
T1053.003	Cron
T1053.004	Launchd
T1053.005	Scheduled Task
T1053.006	Systemd Timers
T1053.007	Container Orchestration Job
T1054	Indicator Blocking
T1055	Process Injection
T1055.001	Dynamic-link Library Injection
T1055.002	Portable Executable Injection
T1055.003	Thread Execution Hijacking
T1055.004	Asynchronous Procedure Call
T1055.005	Thread Local Storage
T1055.008	Ptrace System Calls
T1055.009	Proc Memory
T1055.011	Extra Window Memory Injection
T1055.012	Process Hollowing
T1055.013	Process Doppelgänging
T1055.014	VDSO Hijacking
T1055.015	ListPlanting
T1056	Input Capture
T1056.001	Keylogging
T1056.002	GUI Input Capture
T1056.003	Web Portal Capture
T1056.004	Credential API Hooking
T1057	Process Discovery
T1058	Service Registry Permissions Weakness
T1059	Command and Scripting Interpreter
T1059.001	PowerShell
T1059.002	AppleScript
